MES,SEM,FECHA,BEB_REF,CAR_PAQ,CAR_PKL,COMP_ENV,COMP_PAQ,LACT_Q,TOR_TOR,VENTA,COSTO,UTIL,DESC,MES_CFD,SEM_CFD,F_CFD,C_CFD
3,10,07/03/2020,12.0,3.0,73.03076999999999,70.0,1.0,,29.0,17138.93113,9334.675677,7810.255453,0.0,3,10,07/03/2020,0
3,10,08/03/2020,19.0,3.0,95.7853,72.0,,,39.0,22587.9179,11949.76014,10690.15776,13.3,3,10,08/03/2020,0
3,11,09/03/2020,7.0,3.0,23.05326,24.0,,1.0,19.0,6588.39874,3638.0742,2950.32454,3.2,3,11,09/03/2020,0
3,11,10/03/2020,3.0,1.0,16.33664,11.5,,,4.0,3282.72836,1770.918237,1511.810123,0.0,3,11,10/03/2020,0
3,11,11/03/2020,6.0,8.0,23.02,20.0,2.0,,6.0,7704.78,3949.131,3781.6490000000003,0.0,3,11,11/03/2020,0
3,11,12/03/2020,5.0,1.0,22.035,17.5,,,7.0,5160.665,2695.0515,2465.6135,0.0,3,11,12/03/2020,0
3,11,13/03/2020,4.0,1.0,14.233989999999999,12.0,,,6.0,3302.4486100000004,1719.2570699999999,1583.19154,0.0,3,11,13/03/2020,0
3,11,14/03/2020,10.0,4.0,56.61478,61.0,,,34.0,15580.241219999998,7788.45335,7791.78787,0.0,3,11,14/03/2020,0
3,11,15/03/2020,17.0,4.0,81.63384,91.5,4.0,1.0,52.0,20376.78716,10980.88423,9417.902935,32.247,3,11,15/03/2020,1
3,12,16/03/2020,15.0,3.0,45.005,69.0,1.0,1.0,35.0,13121.595,6987.3535,6134.2415,3.2,3,12,16/03/2020,0
3,12,17/03/2020,6.0,4.0,19.09519,26.5,2.0,,17.0,5982.22951,3108.7580399999997,2899.47147,0.0,3,12,17/03/2020,2
3,12,18/03/2020,4.0,2.0,27.96691,14.5,6.0,,12.0,7236.569590000001,3540.323583,3744.246007,0.0,3,12,18/03/2020,1
3,12,19/03/2020,6.0,11.0,12.842789999999999,13.0,,,12.0,7397.91991,3906.4329399999997,3491.4869700000004,0.0,3,12,19/03/2020,0
3,12,20/03/2020,6.0,12.0,6.80209,16.0,,,9.0,5302.69951,1301.7246,4026.9749100000004,0.0,3,12,20/03/2020,0
3,12,21/03/2020,20.0,53.0,41.75683,33.5,,1.0,25.0,23214.38237,5351.40375,17870.978619999998,0.0,3,12,21/03/2020,0
3,12,22/03/2020,30.0,64.0,24.91291,27.0,4.0,1.0,25.0,22174.11549,3845.25945,18350.856040000002,45.9,3,12,22/03/2020,0
3,13,23/03/2020,9.0,11.0,15.002979999999999,20.5,,,9.0,6783.83442,2182.00928,4601.82514,3.7,3,13,23/03/2020,1
3,13,24/03/2020,5.0,10.0,9.34182,10.5,,,6.0,5200.9949799999995,1333.7334,3867.26158,0.0,3,13,24/03/2020,2
3,13,25/03/2020,7.0,5.0,23.6,19.0,2.0,1.0,5.0,7477.5,3433.397,4054.103,19.9,3,13,25/03/2020,3
3,13,26/03/2020,4.0,3.0,17.73,19.0,,,11.0,5792.67,2726.1965,3066.4735,0.0,3,13,26/03/2020,1
3,13,27/03/2020,6.0,4.0,21.77855,21.5,,,14.0,7453.51945,3416.52625,4036.9932,3.7,3,13,27/03/2020,3
3,13,28/03/2020,18.0,34.0,59.53746999999999,56.5,4.0,1.0,38.0,25602.80473,12931.488879999999,12693.315859999999,0.0,3,13,28/03/2020,0
3,13,29/03/2020,27.0,32.0,69.55,77.0,4.0,2.0,50.0,29131.1295,14925.691,14234.4385,38.0705,3,13,29/03/2020,0
3,14,30/03/2020,5.0,5.0,11.18,11.0,,1.0,7.0,4041.32,2197.491,1843.829,0.0,3,14,30/03/2020,0
3,14,31/03/2020,8.0,6.0,15.9272,18.0,,,11.0,5837.6448,2815.40175,3022.24305,0.0,3,14,31/03/2020,3
4,14,01/04/2020,8.0,11.0,23.0722,27.5,2.0,,11.0,9727.1998,4872.115,4865.0848,0.0,4,14,01/04/2020,0
